id,来源,名称,分类,红绿灯地址,大图片地址,小图片地址,热量,碳水化合物,脂肪,蛋白质,纤维素,维生素A,维生素C,维生素E,胡萝卜素,硫胺素,核黄素,烟酸,胆固醇,镁,钙,铁,锌,铜,锰,钾,磷,钠,硒,度量单位
K-Classic-Maasdamernailao,用户上传,K-Classic 奶酪,奶类及制品,http://s2.boohee.cn/food/star/K-Classic-Maasdamernailao-464fd64e0ac80033b2da1d8d79704ee9.png,http://s2.boohee.cn/house/upload_food/2010/6/29/466802_1277756590.jpg,http://s2.boohee.cn/house/upload_food/2010/6/29/466802_1277756590mid.jpg,345,0.00,27.20,25.40,0.00,,,,,,,,,,,,,,,,,,,
mengniudakeguoshisuanniunai_lanmei,用户上传,蒙牛大颗果实酸牛奶(蓝莓),奶类及制品,http://s2.boohee.cn/food/star/mengniudakeguoshisuanniunai_lanmei-75cfe517c375bdf175138506c2952781.png,http://s2.boohee.cn/house/upload_food/2010/1/2/415361_1262424897.jpg,http://s2.boohee.cn/house/upload_food/2010/1/2/415361_1262424897mid.jpg,103,16.70,2.70,2.70,一,,,,,,,,,,,,,,,,,,,
kafuExtrahiLightfeichengnailao,用户上传,卡夫 EXTRALIGHT费城奶酪,奶类及制品,http://s2.boohee.cn/food/star/kafuExtrahiLightfeichengnailao-8828d594f80f827382a48a1c95293cc8.png,http://s2.boohee.cn/house/upload_food/2011/7/13/978949_1310549661.jpg,http://s2.boohee.cn/house/upload_food/2011/7/13/978949_1310549661mid.jpg,131,8.40,4.70,11.00,0.00,,,,,,,,,,,,,,,,,,,
haoshiwuzhichunniunai,用户上传,好时 无脂纯牛奶,奶类及制品,http://s2.boohee.cn/food/star/haoshiwuzhichunniunai-60326d02d98e5c07add77b51f71433b2.png,http://s2.boohee.cn/house/upload_food/2012/4/28/1322098_1335592624.jpg,http://s2.boohee.cn/house/upload_food/2012/4/28/1322098_1335592624mid.jpg,34,5.08,0.00,3.39,0.00,,,,,,,,,,,,,,,,,,,
quechaogaogaitiannaifen,用户上传,雀巢 高钙甜奶粉,奶类及制品,http://s2.boohee.cn/food/star/quechaogaogaitiannaifen-586ccb4ce7b9d97c6a0c1ce2dfa25e63.png,http://s2.boohee.cn/house/upload_food/2011/8/14/941404_1313322603.jpg,http://s2.boohee.cn/house/upload_food/2011/8/14/941404_1313322603mid.jpg,478,51.00,21.70,19.30,一,,,,,,,,,,,,,,,,,,,
fdb14fc7,用户上传,光明 优倍 0乳糖 巴士杀菌调制乳,奶类及制品,http://s2.boohee.cn/food/star/fdb14fc7-eb8aba62d81b8da09fabfeaccf1b05be.png,http://s2.boohee.cn/house/upload_food/2019/1/2/big_photo_url_644b6121d33d8dd8da9f7b380a6b06c9.jpg,http://s2.boohee.cn/house/upload_food/2019/1/2/mid_photo_url_87d1702e2959f6aa1f45dfa3b4d2bffe.jpg,67,5.20,3.60,3.40,一,,,,,,,,,,,,,,,,,,,
changfugaogaitiannai,用户上传,长富 高钙甜奶 袋装221ml,奶类及制品,http://s2.boohee.cn/food/star/changfugaogaitiannai-dd3c6badce1346f5572f9360017d1edd.png,http://s2.boohee.cn/house/upload_food/2014/1/5/2071776_1388912824.jpg,http://s2.boohee.cn/house/upload_food/2014/1/5/2071776_1388912824mid.jpg,61,5.00,3.20,3.00,0.00,,,,,,,,,,,,,,,,,,,
naipian,薄荷,奶片,奶类及制品,http://s2.boohee.cn/food/star/naipian-50a1bf0ff1ff2cd61a5a92211d46737f.png,http://s2.boohee.cn/house/upload_food/2020/5/27/big_photo_url_877c22af0f11845f33333576a1bc1cf9.jpg,http://s2.boohee.cn/house/upload_food/2020/5/27/mid_photo_url_e5334447acd4e946385eaa50d943e3d6.jpg,472,59.30,20.20,13.30,0.00,,,,,,,,,,,,,,,,,,,"1片奶片(3.0克)14大卡,标准(100克)472大卡"
sanyuanjizhiESLgaopinzhixianni,用户上传,三元极致ESL高品质鲜牛乳(全脂),奶类及制品,http://s2.boohee.cn/food/star/sanyuanjizhiESLgaopinzhixianni-314fa07e218592835c89e8abe41a126b.png,http://s2.boohee.cn/house/upload_food/2012/3/19/192215_1332141333.jpg,http://s2.boohee.cn/house/upload_food/2012/3/19/192215_1332141333mid.jpg,71,4.80,4.20,3.50,一,,,,,,,,,,,,,,,,,,,
xiaozhiniunailaohi_OriginalhiC,用户上传,The laughing cow 笑芝牛奶酪 (Original Creamy Swiss),奶类及制品,http://s2.boohee.cn/food/star/xiaozhiniunailaohi_OriginalhiC-36f52d1c30ed06c05a05a17c87beada6.png,http://s2.boohee.cn/house/upload_food/2012/2/10/742285_1328859531.png,http://s2.boohee.cn/house/upload_food/2012/2/10/742285_1328859531mid.png,238,4.76,19.05,9.52,0.00,,,,,,,,,,,,,,,,,,,
xueshengnai,薄荷,学生奶,奶类及制品,http://s2.boohee.cn/food/star/xueshengnai-a51956e67c6e4c54c1b6a8b8596067d4.png,http://s2.boohee.cn/house/new_food/big/97e5f0c395e4428baf8d7ecd6a34ac34.jpg,http://s2.boohee.cn/house/new_food/mid/97e5f0c395e4428baf8d7ecd6a34ac34.jpg,66,8.10,2.60,2.60,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,
