id,来源,名称,分类,红绿灯地址,大图片地址,小图片地址,热量,碳水化合物,脂肪,蛋白质,纤维素,维生素A,维生素C,维生素E,胡萝卜素,硫胺素,核黄素,烟酸,胆固醇,镁,钙,铁,锌,铜,锰,钾,磷,钠,硒,度量单位
danengsancenggaogaishuda_zhimawei,用户上传,达能 三层高钙梳打(芝麻味),零食、点心、冷饮,http://s2.boohee.cn/food/star/danengsancenggaogaishuda_zhimawei-7966a5541dde816bf7bee31d03929a4d.png,http://s2.boohee.cn/house/upload_food/2009/1/13/164572_1231829080.jpg,http://s2.boohee.cn/house/upload_food/2009/1/13/164572_1231829080mid.jpg,480,60.00,22.00,10.00,一,,,,,,,,,,,,,,,,,,,
minikeaiduosuannaikouweihimang,用户上传,芒果口味冰激凌(合装),零食、点心、冷饮,http://s2.boohee.cn/food/star/minikeaiduosuannaikouweihimang-c484360ca7425750cba26b9689b8eb0c.png,http://s2.boohee.cn/house/upload_food/2011/4/6/496258_1302102073.jpg,http://s2.boohee.cn/house/upload_food/2011/4/6/496258_1302102073mid.jpg,281,39.00,12.50,3.00,0.50,,,,,,,,,,,,,,,,,,,
heshibingqiu_wutanglanmeikouwei,用户上传,荷氏冰球(无糖)蓝莓口味,零食、点心、冷饮,http://s2.boohee.cn/food/star/heshibingqiu_wutanglanmeikouwei-9291a4066edf94041817865cf5947305.png,http://s2.boohee.cn/house/upload_food/2008/11/25/146893_1227618853.jpg,http://s2.boohee.cn/house/upload_food/2008/11/25/146893_1227618853mid.jpg,234,96.50,0.00,一,一,,,,,,,,,,,,,,,,,,,
BerylhisChocoloate,用户上传,倍乐思 蓓乐思BERYL’SCHOCOLOATE,零食、点心、冷饮,http://s2.boohee.cn/food/star/BerylhisChocoloate-be730eb8bc2272c4141e6c5df9e74746.png,http://s2.boohee.cn/house/upload_food/2011/8/27/431370_1314436481.jpg,http://s2.boohee.cn/house/upload_food/2011/8/27/431370_1314436481mid.jpg,536,51.00,33.00,10.00,一,,,,,,,,,,,,,,,,,,,
heshiningmengxiangmibaohetang,用户上传,何氏柠檬香蜜薄荷糖,零食、点心、冷饮,http://s2.boohee.cn/food/star/heshiningmengxiangmibaohetang-a1ab28b9dbe9786fc8f7749d00cbc9a7.png,http://s2.boohee.cn/house/upload_food/2008/9/21/36507_1222012212.jpg,http://s2.boohee.cn/house/upload_food/2008/9/21/36507_1222012212mid.jpg,379,95.00,0.00,0.00,一,,,,,,,,,,,,,,,,,,,
huangshiyouleduoniunaimaipiantiancuibinggan,用户上传,皇室悠乐多牛奶麦片甜脆饼干,零食、点心、冷饮,http://s2.boohee.cn/food/star/huangshiyouleduoniunaimaipiantiancuibinggan-ac59def7658e83283fa9990fd67ac0a8.png,http://s2.boohee.cn/house/upload_food/2008/6/14/74067_1213393221.jpg,http://s2.boohee.cn/house/upload_food/2008/6/14/74067_1213393221mid.jpg,473,73.30,15.80,8.21,一,,,,,,,,,,,,,,,,,,,
letiandanhuangpai,用户上传,乐天 蛋黄派,零食、点心、冷饮,http://s2.boohee.cn/food/star/letiandanhuangpai-7bd7192a5334e6377cfd0ced81da52bb.png,http://s2.boohee.cn/house/upload_food/2009/7/27/306249_1248676068.jpg,http://s2.boohee.cn/house/upload_food/2009/7/27/306249_1248676068mid.jpg,455,54.55,27.27,4.55,一,,,,,,,,,,,,,,,,,,,"1个乐天 蛋黄派(35.0克)159大卡,标准(100克)455大卡"
chunrijingmochaweiyingtang,用户上传,春日井 抹茶味硬糖,零食、点心、冷饮,http://s2.boohee.cn/food/star/chunrijingmochaweiyingtang-b7689019824765e7ba8ee954ab1ca347.png,http://s2.boohee.cn/house/upload_food/2008/6/13/81357_1213351991.jpg,http://s2.boohee.cn/house/upload_food/2008/6/13/81357_1213351991mid.jpg,411,87.60,5.40,3.00,一,,,,,,,,,,,,,,,,,,,
dadouselayou,用户上传,大为 白苏打饼干(花椒味),零食、点心、冷饮,http://s2.boohee.cn/food/star/dadouselayou-53309ea4dfbf6f75998f4bf09ecd8a9d.png,http://s2.boohee.cn/house/food_big/big_photo2015221911502093.jpg,http://s2.boohee.cn/house/food_mid/mid_photo_2015221911502093.jpg,495,55.00,26.00,10.00,一,,,,,,,,,,,,,,,,,,,
fd829b42,用户上传,seleco 香脆烤海带圈 (辣味),零食、点心、冷饮,http://s2.boohee.cn/food/star/fd829b42-402e438bf04c7a5cb10b341bc21f6ade.png,http://s2.boohee.cn/house/upload_food/2015/12/16/big_photo_url_33dc64a882b145e46e13b2b47e5da2ae.png,http://s2.boohee.cn/house/upload_food/2015/12/16/mid_photo_url_33dc64a882b145e46e13b2b47e5da2ae.png,354,64.29,2.50,18.57,0.00,,,,,,,,,,,,,,,,,,,
jibailiqiaoxinyuqiaokelijiaxinyingtang_yuanwei,用户上传,吉百利 巧心玉巧克力夹心硬糖(原味),零食、点心、冷饮,http://s2.boohee.cn/food/star/jibailiqiaoxinyuqiaokelijiaxinyingtang_yuanwei-62c3079f57dab856a76210dd7f90ccc0.png,http://s2.boohee.cn/house/upload_food/2009/9/1/100830_1251797731.jpg,http://s2.boohee.cn/house/upload_food/2009/9/1/100830_1251797731mid.jpg,438,85.56,8.61,0.83,一,,,,,,,,,,,,,,,,,,,
yimeijiankangquxiangquanmaisudabinggan,用户上传,义美健康取向全麦苏打饼干,零食、点心、冷饮,http://s2.boohee.cn/food/star/yimeijiankangquxiangquanmaisudabinggan-31d5e73092b7a83915ed9af18f5b9504.png,http://s2.boohee.cn/house/upload_food/2008/7/4/93650_1215163125.jpg,http://s2.boohee.cn/house/upload_food/2008/7/4/93650_1215163125mid.jpg,477,63.64,20.00,10.23,一,,,,,,,,,,,,,,,,,,,
senyongheitangniunaitang,用户上传,森永 黑糖牛奶糖,零食、点心、冷饮,http://s2.boohee.cn/food/star/senyongheitangniunaitang-807a7b8742256c0a7614476e7c600384.png,http://s2.boohee.cn/house/upload_food/2008/7/2/74067_1214980079.jpg,http://s2.boohee.cn/house/upload_food/2008/7/2/74067_1214980079mid.jpg,454,83.20,11.60,3.20,一,,,,,,,,,,,,,,,,,,,
haojindaoshangtangniugumianmalawei,用户上传,好劲道上汤牛骨面麻辣味,零食、点心、冷饮,http://s2.boohee.cn/food/star/haojindaoshangtangniugumianmalawei-bcb78f6b0936bce8a400b8009e454f22.png,http://s2.boohee.cn/house/upload_food/2008/6/23/82461_1214197829.jpg,http://s2.boohee.cn/house/upload_food/2008/6/23/82461_1214197829mid.jpg,454,55.00,16.90,8.80,0.80,,,,,,,,,,,,,,,,,,,
pinkeshupian_yuanwei,用户上传,品客 薯片(原味),零食、点心、冷饮,http://s2.boohee.cn/food/star/pinkeshupian_yuanwei-4966f08a428340e76721d67a7a0d0dcb.png,http://s2.boohee.cn/house/upload_food/2008/10/23/150316_1224745075.jpg,http://s2.boohee.cn/house/upload_food/2008/10/23/150316_1224745075mid.jpg,530,51.40,35.10,2.70,一,,,,,,,,,,,,,,,,,,,
taiwanjingyizhenzhimaweishaqima,用户上传,台湾精益珍芝麻味沙琪玛,零食、点心、冷饮,http://s2.boohee.cn/food/star/taiwanjingyizhenzhimaweishaqima-0ec6f1fa327495c4c3b386abdd80cab1.png,http://s2.boohee.cn/house/upload_food/2009/3/28/162265_1238222735.jpg,http://s2.boohee.cn/house/upload_food/2009/3/28/162265_1238222735mid.jpg,426,31.30,19.13,6.96,0.00,,,,,,,,,,,,,,,,,,,
EDOtilamisuweihuabing,用户上传,EDO PACK EDO提拉米苏威化饼,零食、点心、冷饮,http://s2.boohee.cn/food/star/EDOtilamisuweihuabing-62f012d6ad76a50ad812090ab1af1cb7.png,http://s2.boohee.cn/house/upload_food/2009/2/16/91710_1234750968.jpg,http://s2.boohee.cn/house/upload_food/2009/2/16/91710_1234750968mid.jpg,500,68.00,22.00,7.00,2.00,,,,,,,,,,,,,,,,,,,
WeightWatcherstejixuegaobei_qiaokelifuzibulangniwei,用户上传,WeightWatchers‘ WeightWatcher6 英寸奇士牛排三明治,零食、点心、冷饮,http://s2.boohee.cn/food/star/WeightWatcherstejixuegaobei_qiaokelifuzibulangniwei-b397c24792eddbe70cd7690504507f05.png,http://s2.boohee.cn/house/upload_food/2010/6/3/192215_1275547540.jpg,http://s2.boohee.cn/house/upload_food/2010/6/3/192215_1275547540mid.jpg,137,34.31,1.47,4.90,6.86,,,,,,,,,,,,,,,,,,,
stoneridgehiorchardshiyingtaog,用户上传,stoneridge 樱桃干,零食、点心、冷饮,http://s2.boohee.cn/food/star/stoneridgehiorchardshiyingtaog-8552b4de7e4037e1c0f54257c752e2bf.png,http://s2.boohee.cn/house/upload_food/2010/10/8/227049_1286531158.jpg,http://s2.boohee.cn/house/upload_food/2010/10/8/227049_1286531158mid.jpg,325,80.00,1.25,2.50,0.00,,,,,,,,,,,,,,,,,,,"1包stoneridge 樱桃干(560.0克)1820大卡,1份stoneridge 樱桃干(40.0克)130大卡,标准(100克)325大卡"
heluxuelanmeikouweibingqilin,用户上传,和路雪 蓝莓口味冰淇淋,零食、点心、冷饮,http://s2.boohee.cn/food/star/heluxuelanmeikouweibingqilin-bd5bdff9d6859c47b927ae9910dab157.png,http://s2.boohee.cn/house/upload_food/2009/4/18/124911_1240057063.jpg,http://s2.boohee.cn/house/upload_food/2009/4/18/124911_1240057063mid.jpg,192,27.20,8.10,2.40,0.50,,,,,,,,,,,,,,,,,,,
youhipincuominthuameirou_lirou,用户上传,优の品撮mint 话梅肉(李肉条),零食、点心、冷饮,http://s2.boohee.cn/food/star/youhipincuominthuameirou_lirou-6b185873c236ca58626356ec14bb2f48.png,http://s2.boohee.cn/house/upload_food/2012/5/1/192215_1335859856.jpg,http://s2.boohee.cn/house/upload_food/2012/5/1/192215_1335859856mid.jpg,311,79.10,0.71,1.10,0.00,,,,,,,,,,,,,,,,,,,"1包优の品撮mint 话梅肉(李肉条)(100.0克)311大卡,标准(100克)311大卡"
heshiwuyefengbaobaohetang,用户上传,荷氏午夜风暴薄荷糖,零食、点心、冷饮,http://s2.boohee.cn/food/star/heshiwuyefengbaobaohetang-1d7fcc12d033bb6f1a528888f6e80eef.png,http://s2.boohee.cn/house/upload_food/2008/6/14/26607_1213427049.jpg,http://s2.boohee.cn/house/upload_food/2008/6/14/26607_1213427049mid.jpg,386,96.00,0.00,0.00,一,,,,,,,,,,,,,,,,,,,
lvdougao,薄荷,绿豆糕,零食、点心、冷饮,http://s2.boohee.cn/food/star/lvdougao-67b10cc18ffef68ef746a82d5d3d31db.png,http://s2.boohee.cn/house/upload_food/2020/6/5/big_photo_url_95306ef5239d6cf1fbb3ba9fc06e39d8.jpg,http://s2.boohee.cn/house/upload_food/2020/6/5/mid_photo_url_8c425adc724b94f6dca55ed58d2859b1.jpg,351,73.40,1.00,12.80,1.20,47.00,一,3.68,280.00,0.23,0.02,6.10,一,87.00,24.00,7.30,1.04,0.34,0.78,416.00,121.00,11.60,4.96,"1个绿豆糕(70.0克)246大卡,1块绿豆糕(15.0克)53大卡,标准(100克)351大卡"
naiyouwuxiangdou,薄荷,奶油五香豆,零食、点心、冷饮,http://s2.boohee.cn/food/star/naiyouwuxiangdou-4f25fbf7df7c5604cdb5b35248931671.png,http://s2.boohee.cn/house/new_food/big/9c178d4aa1234e07a00e4db712bcbefe.jpg,http://s2.boohee.cn/house/new_food/mid/9c178d4aa1234e07a00e4db712bcbefe.jpg,279,54.00,2.00,26.20,29.80,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,
fd4ab41a,用户上传,孔雀 卷心饼(鸡蛋布丁口味)63g,零食、点心、冷饮,http://s2.boohee.cn/food/star/fd4ab41a-4d662959f5ff3fe622f5e90977aa29d2.png,http://s2.boohee.cn/house/upload_food/2015/8/7/big_photo_url_BE4F2FEFDAA7.jpg,http://s2.boohee.cn/house/upload_food/2015/8/7/mid_photo_url_BE4F2FEFDAA7.jpg,559,53.50,35.00,7.40,一,,,,,,,,,,,,,,,,,,,
heluxuemenglongzhenrensongluqiaokelibingqilin,用户上传,和路雪 梦龙榛仁松露巧克力冰淇淋,零食、点心、冷饮,http://s2.boohee.cn/food/star/heluxuemenglongzhenrensongluqiaokelibingqilin-ebe09171f20399bbd29fdd9708e5e5e6.png,http://s2.boohee.cn/house/upload_food/2010/7/25/575544_1280040562.jpg,http://s2.boohee.cn/house/upload_food/2010/7/25/575544_1280040562mid.jpg,348,29.38,23.59,4.69,0.00,,,,,,,,,,,,,,,,,,,
bailebaohongdoukouweixuegao,用户上传,百乐宝红豆口味雪糕,零食、点心、冷饮,http://s2.boohee.cn/food/star/bailebaohongdoukouweixuegao-80a7deb0f19c61b889794287aef74965.png,http://s2.boohee.cn/house/upload_food/2008/6/14/74067_1213405666.jpg,http://s2.boohee.cn/house/upload_food/2008/6/14/74067_1213405666mid.jpg,138,23.70,3.30,3.10,一,,,,,,,,,,,,,,,,,,,
EDObingganhihanDHAhi,用户上传,EDO PACK EDO饼干(含DHA),零食、点心、冷饮,http://s2.boohee.cn/food/star/EDObingganhihanDHAhi-fc51a296013549be9da4e988a3ccb4fc.png,http://s2.boohee.cn/house/upload_food/2008/6/26/36507_1214486346.jpg,http://s2.boohee.cn/house/upload_food/2008/6/26/36507_1214486346mid.jpg,524,58.94,27.03,8.01,5.00,,,,,,,,,,,,,,,,,,,
mianbaotiao_bai,薄荷,面包条(白),零食、点心、冷饮,http://s2.boohee.cn/food/star/mianbaotiao_bai-0ac0cf8ee023b1bc3991799c029d8eee.png,http://s2.boohee.cn/house/upload_food/2020/5/19/big_photo_url_big_photo_url_79ae347dc00209190d8909d69a091355.jpg,http://s2.boohee.cn/house/upload_food/2020/5/19/mid_photo_url_big_photo_url_79ae347dc00209190d8909d69a091355.jpg,283,51.10,5.20,8.30,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,
jiadunshouzhibingganhiqiaokeliwei,用户上传,嘉顿 手指饼干巧克力味,零食、点心、冷饮,http://s2.boohee.cn/food/star/jiadunshouzhibingganhiqiaokeliwei-30b5663111f3d1060cb084e8ead668e9.png,http://s2.boohee.cn/house/upload_food/2009/4/13/240941_1239583802.jpg,http://s2.boohee.cn/house/upload_food/2009/4/13/240941_1239583802mid.jpg,431,76.90,9.40,9.00,一,,,,,,,,,,,,,,,,,,,
heluxue-minikeaiduo_heiqiaokeli,用户上传,和路雪 迷你可爱多(黑巧克力),零食、点心、冷饮,http://s2.boohee.cn/food/star/heluxue-minikeaiduo_heiqiaokeli-9e7b968d3666e47e542e118a2eb03679.png,http://s2.boohee.cn/house/upload_food/2009/7/26/288401_1248592750.jpg,http://s2.boohee.cn/house/upload_food/2009/7/26/288401_1248592750mid.jpg,335,39.00,18.00,4.00,一,,,,,,,,,,,,,,,,,,,
heluxueminilexueqiuqiaokelibingqilin,用户上传,和路雪 迷你乐雪球巧克力冰淇淋,零食、点心、冷饮,http://s2.boohee.cn/food/star/heluxueminilexueqiuqiaokelibingqilin-8fa7a2834e50d0e8734cf2341a9ca193.png,http://s2.boohee.cn/house/upload_food/2008/6/18/74067_1213735371.jpg,http://s2.boohee.cn/house/upload_food/2008/6/18/74067_1213735371mid.jpg,320,33.80,18.90,3.70,1.40,,,,,,,,,,,,,,,,,,,
bangbing_qicaixuan,薄荷,棒冰(奇彩旋),零食、点心、冷饮,http://s2.boohee.cn/food/star/bangbing_qicaixuan-27458def4747fca8e575cdb60f0ba4a9.png,http://s2.boohee.cn/house/new_food/big/cddc6115ba174f9fa8d083ef01987960.jpg,http://s2.boohee.cn/house/new_food/mid/cddc6115ba174f9fa8d083ef01987960.jpg,95,21.30,1.10,0.00,0.00,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,
cotehidhiorhiorangehinoirhi70,用户上传,Cote D'or Orange Noir 70%巧克力(橘子味),零食、点心、冷饮,http://s2.boohee.cn/food/star/cotehidhiorhiorangehinoirhi70-656dfda8fa55cdb034d1bb4c7efbe933.png,http://s2.boohee.cn/house/upload_food/2010/2/20/462722_1266660285.jpg,http://s2.boohee.cn/house/upload_food/2010/2/20/462722_1266660285mid.jpg,575,33.50,46.00,6.40,9.40,,,,,,,,,,,,,,,,,,,
jizhiweigancuimian_mianbingdiaoweiliao,薄荷,鸡汁味干脆面(面饼+调味料),零食、点心、冷饮,http://s2.boohee.cn/food/star/jizhiweigancuimian_mianbingdiaoweiliao-1d5b898fa6b6f0bd517898fb92511979.png,http://s2.boohee.cn/house/new_food/big/7218014cd15444d5ac45d38fd4e68f84.jpg,http://s2.boohee.cn/house/new_food/mid/7218014cd15444d5ac45d38fd4e68f84.jpg,505,55.20,27.00,11.40,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,
heluxueqicaixuan_huangmangguoh2,用户上传,青芒果口味),零食、点心、冷饮,http://s2.boohee.cn/food/star/heluxueqicaixuan_huangmangguoh2-9fab5536d7c3700aa21c06ffdb376ecc.png,http://s2.boohee.cn/house/upload_food/2011/8/12/979754_1313138904.jpg,http://s2.boohee.cn/house/upload_food/2011/8/12/979754_1313138904mid.jpg,92,22.39,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
suchavlhisensationsbaoheheiqia,用户上传,suchard sensations薄荷黑巧克力,零食、点心、冷饮,http://s2.boohee.cn/food/star/suchavlhisensationsbaoheheiqia-d62fbe6eb9b1f5e9c2d4f47355b90fbd.png,http://s2.boohee.cn/house/upload_food/2012/1/23/850601_1327313334.jpg,http://s2.boohee.cn/house/upload_food/2012/1/23/850601_1327313334mid.jpg,575,34.50,45.50,6.40,9.40,,,,,,,,,,,,,,,,,,,
defujingxinzhixuan_lihe,用户上传,德芙 精心之选(礼盒),零食、点心、冷饮,http://s2.boohee.cn/food/star/defujingxinzhixuan_lihe-2d4e4acdb40453b8275a4e0e4a37f2a9.png,http://s2.boohee.cn/house/upload_food/2009/2/15/206556_1234673197.jpg,http://s2.boohee.cn/house/upload_food/2009/2/15/206556_1234673197mid.jpg,555,56.50,34.50,5.90,一,,,,,,,,,,,,,,,,,,,
1848NOIRcafeqiaokeli,用户上传,1848 NOIRcafe巧克力,零食、点心、冷饮,http://s2.boohee.cn/food/star/1848NOIRcafeqiaokeli-34912866650fd2d5c7c9a9f2e52eda60.png,http://s2.boohee.cn/house/upload_food/2008/6/12/36507_1213282386.jpg,http://s2.boohee.cn/house/upload_food/2008/6/12/36507_1213282386mid.jpg,540,35.50,40.80,7.40,10.20,,,,,,,,,,,,,,,,,,,
fd6a627d,用户上传,盼盼 梅尼耶干蛋糕(柠檬味),零食、点心、冷饮,http://s2.boohee.cn/food/star/fd6a627d-26749148d89c53c4ca642141d59be1b7.png,http://s2.boohee.cn/house/upload_food/2015/8/7/big_photo_url_1d2b3b5d72e811b6ee6091ec42799370.png,http://s2.boohee.cn/house/upload_food/2015/8/7/mid_photo_url_1d2b3b5d72e811b6ee6091ec42799370.png,532,60.50,28.90,7.60,一,,,,,,,,,,,,,,,,,,,
hagendasixueba_mangguowei,用户上传,哈根达斯雪芭(芒果味),零食、点心、冷饮,http://s2.boohee.cn/food/star/hagendasixueba_mangguowei-9dee5d41e5a6b3d4723dfaea8bdad459.png,http://s2.boohee.cn/house/upload_food/2010/5/22/192215_1274491110.gif,http://s2.boohee.cn/house/upload_food/2010/5/22/192215_1274491110.gif,105,32.46,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,
heigongzao,薄荷,黑贡枣,零食、点心、冷饮,http://s2.boohee.cn/food/star/heigongzao-d3350facf8de0a6788b5fc6d89c358c4.png,http://s2.boohee.cn/house/upload_food/2020/6/12/big_photo_url_f0a09c0e601f1d39d1c370009e7f8b5f.jpg,http://s2.boohee.cn/house/upload_food/2020/6/12/mid_photo_url_3d074fb837dafa656c859e94f0ea0494.jpg,305,78.00,0.90,2.70,6.40,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,"1个黑贡枣(5.0克)15大卡,标准(100克)305大卡"
xiangjiaoguozhajuan,用户上传,老厨 杀杀龙肉干,零食、点心、冷饮,http://s2.boohee.cn/food/star/xiangjiaoguozhajuan-43baec2e9f941451263068b844b5e79b.png,http://s2.boohee.cn/house/upload_food/2016/5/19/big_photo_url_3e7c2cd4f6b149b6a44a27d09074a2b1.jpg,http://s2.boohee.cn/house/upload_food/2016/5/19/mid_photo_url_8b8865a348e3447490eb66d73a4f3556.jpg,350,35.00,7.00,35.00,0.00,,,,,,,,,,,,,,,,,,,
guoba_douxiang,薄荷,锅巴(豆香),零食、点心、冷饮,http://s2.boohee.cn/food/star/guoba_douxiang-fd3abb7dd6bbffbe80bef0c75a7c1548.png,http://s2.boohee.cn/house/new_food/big/f188d0dbc7ab45d4941c4fff96851966.jpg,http://s2.boohee.cn/house/new_food/mid/f188d0dbc7ab45d4941c4fff96851966.jpg,528,62.80,30.60,7.60,3.60,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,
DanhiDhiOrganichiApricots,用户上传,Dan-D pak Dan·D Park Organic Apricots有机杏干,零食、点心、冷饮,http://s2.boohee.cn/food/star/DanhiDhiOrganichiApricots-1fce4edccd652e7988a88efbb768a08b.png,http://s2.boohee.cn/house/upload_food/2011/7/14/731424_1310623974.jpg,http://s2.boohee.cn/house/upload_food/2011/7/14/731424_1310623974mid.jpg,250,62.50,0.00,2.50,5.00,,,,,,,,,,,,,,,,,,,"1包Dan-D pak Dan·D Park Organic Apricots有机杏干(100.0克)250大卡,标准(100克)250大卡"
qiubicaomeijiang_ditangdu,用户上传,丘比 草莓酱(低糖度),零食、点心、冷饮,http://s2.boohee.cn/food/star/qiubicaomeijiang_ditangdu-8f9f1a92d2557451f1295d23e4e5e23c.png,http://s2.boohee.cn/house/upload_food/2009/8/24/254832_1251099716.jpg,http://s2.boohee.cn/house/upload_food/2009/8/24/254832_1251099716mid.jpg,241,59.00,0.00,0.00,一,,,,,,,,,,,,,,,,,,,
wangwangxuebing_xianglawei,用户上传,旺旺雪饼(香辣味),零食、点心、冷饮,http://s2.boohee.cn/food/star/wangwangxuebing_xianglawei-f83df71c9c1ad5ac7e6f069724f9f57e.png,http://s2.boohee.cn/house/upload_food/2009/7/26/129336_1248579641.jpg,http://s2.boohee.cn/house/upload_food/2009/7/26/129336_1248579641mid.jpg,400,86.67,1.67,3.33,一,,,,,,,,,,,,,,,,,,,"1包旺旺雪饼(香辣味)(10.0克)40大卡,1小包旺旺雪饼(香辣味)(12.0克)48大卡,标准(100克)400大卡"
jianluobogao,用户上传,煎萝卜糕,零食、点心、冷饮,http://s2.boohee.cn/food/star/jianluobogao-1ff156076c1828862bec54e43c1abe85.png,http://s2.boohee.cn/house/upload_food/2009/8/15/82712_1250347402.jpg,http://s2.boohee.cn/house/upload_food/2009/8/15/82712_1250347402mid.jpg,130,16.00,5.70,3.20,2.70,,,,,,,,,,,,,,,,,,,
maidanglaoboluopai,用户上传,麦当劳 菠萝派,零食、点心、冷饮,http://s2.boohee.cn/food/star/maidanglaoboluopai-d75de4097caae560b2ed997e9d62da3b.png,http://s2.boohee.cn/house/upload_food/2018/12/15/big_photo_url_bc114dd818265e87a0485772773ede2d.jpg,http://s2.boohee.cn/house/upload_food/2018/12/15/mid_photo_url_c01593294458616ef6c6c92df19d7e02.jpg,239,26.20,13.70,2.10,一,,,,,,,,,,,,,,,,,,,"1个麦当劳 菠萝派(100.0克)239大卡,标准(100克)239大卡"
Ramadizhipengrennaiyou,用户上传,Rama 低脂烹饪奶油,零食、点心、冷饮,http://s2.boohee.cn/food/star/Ramadizhipengrennaiyou-800540c76e69d273483c831153575ddf.png,http://s2.boohee.cn/house/upload_food/2010/9/30/454091_1285789093.jpg,http://s2.boohee.cn/house/upload_food/2010/9/30/454091_1285789093mid.jpg,85,5.00,7.00,1.00,0.50,,,,,,,,,,,,,,,,,,,
defushijinzhuangqiaokeli,用户上传,德芙 什锦装巧克力,零食、点心、冷饮,http://s2.boohee.cn/food/star/defushijinzhuangqiaokeli-8cc14b621e7da019bc87a855f41fe1b7.png,http://s2.boohee.cn/house/upload_food/2011/5/8/431370_1304803684.jpg,http://s2.boohee.cn/house/upload_food/2011/5/8/431370_1304803684mid.jpg,534,56.40,33.90,6.30,一,,,,,,,,,,,,,,,,,,,
chuheheizhimahetaofen,用户上传,锄禾 黑芝麻核桃粉,零食、点心、冷饮,http://s2.boohee.cn/food/star/chuheheizhimahetaofen-25787b547ef210fb7b4a43cff83c497c.png,http://s2.boohee.cn/house/upload_food/2008/9/9/128633_1220971886.jpg,http://s2.boohee.cn/house/upload_food/2008/9/9/128633_1220971886mid.jpg,311,62.00,5.00,6.00,2.00,,,,,,,,,,,,,,,,,,,
fd99dfed,用户上传,黑雷神 巧克力棒,零食、点心、冷饮,http://s2.boohee.cn/food/star/fd99dfed-7ab875076396de09bef7f0309940dbda.png,http://s2.boohee.cn/house/upload_food/2015/8/7/big_photo_url_9f9417b187a0eb7e6183cb1cf7c716e3.png,http://s2.boohee.cn/house/upload_food/2015/8/7/mid_photo_url_9f9417b187a0eb7e6183cb1cf7c716e3.png,524,64.76,26.67,6.19,一,,,,,,,,,,,,,,,,,,,
heshiteqiangbaohetang,用户上传,荷氏 特强薄荷糖,零食、点心、冷饮,http://s2.boohee.cn/food/star/heshiteqiangbaohetang-875d4bf33a9f6b8c80810c7bbf580979.png,http://s2.boohee.cn/house/upload_food/2008/6/14/44334_1213447303.jpg,http://s2.boohee.cn/house/upload_food/2008/6/14/44334_1213447303mid.jpg,388,97.00,0.00,0.00,一,,,,,,,,,,,,,,,,,,,
hagendasibingqilin_mochawei,用户上传,哈根达斯冰淇淋(抹茶味),零食、点心、冷饮,http://s2.boohee.cn/food/star/hagendasibingqilin_mochawei-7841c1d5d3fbf1050288b444402409c2.png,http://s2.boohee.cn/house/upload_food/2010/5/21/192215_1274435713.gif,http://s2.boohee.cn/house/upload_food/2010/5/21/192215_1274435713mid.gif,245,19.61,16.67,4.90,0.00,,,,,,,,,,,,,,,,,,,
daliyuangaoxianculiangbing,用户上传,达利园 高纤粗粮饼,零食、点心、冷饮,http://s2.boohee.cn/food/star/daliyuangaoxianculiangbing-f2bf9a7275649cc718e53eba510577d7.png,http://s2.boohee.cn/house/upload_food/2008/6/28/79297_1214635987.jpg,http://s2.boohee.cn/house/upload_food/2008/6/28/79297_1214635987mid.jpg,502,42.00,33.00,6.80,6.20,,,,,,,,,,,,,,,,,,,"1包达利园 高纤粗粮饼(30.0克)151大卡,标准(100克)502大卡"
suwupaimangguogan,用户上传,宿雾牌 芒果干,零食、点心、冷饮,http://s2.boohee.cn/food/star/suwupaimangguogan-e4024080984e6cb5fc65c88409255f52.png,http://s2.boohee.cn/house/upload_food/2011/2/17/772320_1297932888.jpg,http://s2.boohee.cn/house/upload_food/2011/2/17/772320_1297932888mid.jpg,381,92.86,0.00,2.38,2.38,,,,,,,,,,,,,,,,,,,"1包宿雾牌 芒果干(200.0克)762大卡,标准(100克)381大卡"
fd07b5d7,用户上传,Easy Fun 0卡醉醉冻(酒酿风味),零食、点心、冷饮,http://s2.boohee.cn/food/star/fd07b5d7-352ff61de431b493a08907de80701d48.png,http://s2.boohee.cn/house/upload_food/2020/5/23/big_photo_url_big_photo_url_be113565c74c61491c4e2ebe9aa97d56.jpg,http://s2.boohee.cn/house/upload_food/2020/5/23/mid_photo_url_big_photo_url_be113565c74c61491c4e2ebe9aa97d56.jpg,0,10.50,0.00,0.00,一,,,,,,,,,,,,,,,,,,,
